name,teamName,salary,contractLength
Joel Armia,Vancouver,2700000,4
Chris Tanev,Vancouver,3750000,3
John Tavares,St. Louis,5000000,1
Jonas Brodin,St. Louis,3500000,3
Alex Kerfoot,St. Louis,1650000,2
Tuukka Rask,Carolina,4250000,1
Ryan Suter,Carolina,3800000,2
Artemi Panarin,Carolina,4200000,2
Claude Giroux,Carolina,4000000,2
Andreas Athanasiou,San Jose,2000000,2
Jason Zucker,Vancouver,1750000,2
Nick Ritchie,San Jose,2000000,4
Carey Price,San Jose,8000000,2
Brock Nelson,San Jose,3250000,2
Jamie Benn,San Jose,6500000,3
Jeff Petry,Toronto,3500000,2
Jacob Markstrom,Toronto,4000000,3
Nate Schmidt,Toronto,3000000,2
Alexander Ovechkin,Toronto,5250000,2
Auston Matthews,Toronto,5000000,3
Tristian Jarry,Toronto,1000000,3
Brayden Point,Florida,4250000,3
Justin Faulk,Philly,2000000,2
Mitch Marner,New Jersey,4750000,3
Igor Shesterkin,New Jersey,1250000,3
Alex Pietrangelo,Washington,4500000,2
Tom Wilson,Washington,4125000,3
Keith Yandle,Washington,2700000,1
JT Compher,Vancouver,1100000,5
Oliver Ekman-Larsson,Colorado,5500000,2
William Karlsson,Colorado,4500000,2
Paul Stastny,Colorado,3500000,1
Charlie Coyle,Montreal,3000000,4
Ryan Strome,Montreal,3000000,4
Connor Murphy,Montreal,2500000,4
Carter Verhaeghe,Montreal,1800000,4
Andreas Borgman,Montreal,900000,3
Robin Lehner,Edmonton,3250000,2
Nikita Kucherov,Edmonton,4880000,2
Drew Doughty,New Jersey,4500000,2
Joe Pavelski,New Jersey,1500000,1
Morgan Rielly,New Jersey,4500000,2
Ryan Nugent-Hopkins,Pittsburgh,3000000,2
Josh Morrissey,Pittsburgh,1600000,2
Roman Josi,Rangers,4000000,1
Ryan Ellis,Rangers,3500000,2
Zach Hyman,Rangers,2250000,2
Mika Zibanejad,Rangers,3500000,2
Rasmus Ristolainen,Rangers,2750000,2
Jake Debrusk,Rangers,1000000,1
Nick Schmaltz,Rangers,1000000,1
Robby Fabbri,Rangers,1000000,3
Mason Appleton,Rangers,1250000,3
Hayden Hawkey,Rangers,550000,5
Jonathan Toews,Ottawa,6000000,1
Jon Marchessault,Ottawa,3000000,2
Jordan Oesterle,LosAngeles,1000000,2
Brayden Mcnabb,LosAngeles,2500000,2
Chris Kreider,Edmonton,3600000,3
Tyler Bertuzzi,Edmonton,1600000,4
Mark Giordano,Florida,4800000,2
Nathan Mackinnon,Minnesota,5500000,3
William Nylander,Minnesota,3000000,3
John Klingberg,Minnesota,3500000,2
Hampus Lindholm,Minnesota,3000000,2
Thatcher Demko,Winnipeg,3000000,4
Tomas Hertl,Pittsburgh,2400000,2
Patrik Laine,Carolina,3400000,3
Christian Dvorak,Carolina,1700000,4
Ilya Sorokin,Carolina,1300000,4
Roland McKeown,Carolina,600000,5
Daniel Brickley,Carolina,600000,5
Jaden Schwartz,San Jose,3000000,2
Alex Tuch,Tampa Bay,2000000,4
Nikita Zaitsev,Tampa Bay,2500000,3
Thomas Chabot,Tampa Bay,3500000,4
Christian Wolanin,Tampa Bay,1000000,3
Brenden Dillon,Washington,2200000,2
Jakub Voracek,Nashville,5000000,2
Jordan Staal,Nashville,5000000,3
Matt Duchene,Nashville,4500000,1
Oscar Klefbom,Nashville,3500000,2
Jakub Vrana,Nashville,3000000,2
Juuse Saros,Nashville,3000000,4
Victor Hedman,Chicago,6000000,2
Sean Monahan,Toronto,3000000,2
Blake Coleman,Ottawa,1250000,1
Brent Burns,Anaheim,3125000,1
Jared Spurgeon,Anaheim,3300000,2
Sean Couturier,Boston,6000000,2
Jordan Binnington,Boston,5000000,1
Bryan Rust,Boston,2750000,2
