name,position,hand,height,weight,age,it,sp,st,en,du,di,sk,pa,pc,df,sc,ex,ld,salary,contractLength,birthPlace,TeamName
Alexander Volkov,RW,L,73,195,23,70,71,69,73,64,72,70,70,69,66,71,35,33,1100000,4,RUS,Winnipeg
Gabriel Carlsson,D,L,77,203,24,67,70,73,74,58,70,70,70,70,72,66,35,33,1100000,4,SWE,Winnipeg
Janne Kuokkanen,C,L,73,193,23,64,74,70,76,63,72,73,74,74,64,70,35,33,1250000,4,FIN,Winnipeg
Jansen Harkins,C,L,73,182,24,63,68,68,70,64,75,68,65,63,62,63,35,33,700000,4,USA,Winnipeg
Michael McLeod,C,R,74,188,23,75,68,69,75,64,64,68,68,67,69,69,36,34,1000000,4,CAN,Winnipeg
Pius Suter,C,L,69,176,25,68,74,69,78,70,74,73,72,68,66,74,36,34,1250000,4,CHE,Boston
Evgeny Svechnikov,RW,L,75,208,24,67,72,72,74,60,66,71,71,70,63,69,35,33,1000000,4,RUS,Buffalo
Keegan Kolesar,RW,R,74,227,24,77,68,76,71,64,61,68,72,70,66,65,35,33,1100000,4,CAN,Buffalo
Ryan Johnson,C,L,73,199,45,66,68,71,66,60,72,68,65,65,61,62,62,60,800000,4,CAN,Buffalo
Andrew Peeke,D,R,75,197,23,76,68,71,76,61,70,68,72,70,69,64,35,33,1100000,4,USA,Calgary
Filip Zadina,RW,L,72,189,21,66,75,70,76,64,75,74,73,73,64,70,35,33,1250000,4,CZE,Calgary
Jesper Boqvist,C,L,72,180,22,67,73,68,73,65,75,73,64,62,62,69,35,33,900000,4,SWE,Calgary
Josh Norris,C,L,73,201,22,71,76,72,78,65,75,73,75,75,66,76,35,33,1250000,4,USA,Calgary
Julien Gauthier,RW,R,76,227,23,72,75,77,74,64,65,72,70,68,65,66,35,33,1100000,4,CAN,Calgary
Libor Hajek,D,L,74,203,23,67,68,72,75,64,71,68,66,62,70,64,35,33,950000,4,CZE,Calgary
Steven Lorentz,C,L,76,206,25,68,70,74,72,70,74,70,69,70,69,62,35,33,1000000,4,CAN,Calgary
Blake Lizotte,C,L,67,172,23,66,68,67,75,65,69,68,72,70,70,66,37,35,1000000,4,USA,Carolina
Eric Robinson,LW,L,74,200,26,71,68,71,74,65,76,68,69,68,69,70,42,40,1100000,4,USA,Carolina
Joel Kiviranta,LW,L,70,180,25,71,68,67,74,62,70,68,69,70,68,72,35,33,1000000,4,FIN,Carolina
MacKenzie Weegar,D,R,72,200,27,80,71,74,80,70,66,70,79,79,76,72,49,47,1250000,4,CAN,Carolina
Nikolai Knyzhov,D,L,74,218,24,73,68,75,76,65,66,68,73,69,69,63,35,33,1100000,4,RUS,Carolina
Radim Simek,D,L,71,200,28,73,68,71,75,65,72,68,72,68,72,65,44,42,1250000,4,CZE,Carolina
Artem Zub,D,R,74,203,25,75,70,72,77,70,68,71,73,70,73,69,35,33,1250000,4,RUS,Chicago
Joakim Nygard,LW,L,72,179,28,64,73,70,71,62,69,74,65,63,70,63,37,35,900000,4,SWE,Chicago
Colin Blackwell,C,R,69,190,28,69,70,70,75,64,70,72,72,73,67,72,41,39,1250000,4,USA,Colorado
Erik Brannstrom,D,L,70,181,21,68,74,68,76,63,66,74,73,73,69,64,35,33,1250000,4,SWE,Colorado
Noah Gregor,C,L,72,185,22,75,73,71,75,64,72,72,62,60,64,70,35,33,950000,4,CAN,Colorado
Alexander Romanov,D,L,72,208,21,75,72,75,76,70,70,71,72,69,75,62,35,33,1250000,4,RUS,Detroit
Alexandre Texier,C,L,72,192,21,69,75,70,76,65,69,73,72,70,68,68,35,33,1100000,4,FRA,Detroit
Josh Mahura,D,L,73,186,23,65,68,69,76,60,70,68,73,71,68,68,35,33,1000000,4,CAN,Detroit
Juuso Valimaki,D,L,74,212,22,68,71,75,75,65,68,71,73,73,72,65,35,33,1250000,4,FIN,Detroit
Mikhail Maltsev,LW,L,75,198,23,69,68,71,73,67,70,68,66,66,66,71,35,33,950000,4,RUS,Detroit
Riley Stillman,D,L,73,196,23,76,68,71,77,62,68,68,66,63,72,64,35,33,1000000,4,CAN,Detroit
Ross Colton,C,L,72,191,24,70,68,70,72,65,65,68,66,68,69,77,35,33,1100000,4,USA,Detroit
Carter Rowney,RW,R,74,208,32,79,69,74,75,65,76,68,71,68,73,65,53,51,1250000,4,CAN,Edmonton
Logan O'Connor,RW,R,72,175,24,71,68,67,72,60,70,68,63,65,73,68,35,33,950000,4,USA,Edmonton
Mathieu Olivier,RW,R,74,210,24,81,69,74,74,63,45,68,64,63,66,66,35,33,950000,4,USA,Edmonton
Noah Dobson,D,R,75,195,21,68,73,70,75,68,75,73,73,75,69,68,35,33,1250000,4,CAN,Edmonton
Oliver Wahlstrom,RW,R,73,211,21,70,71,75,74,65,67,73,71,70,65,73,35,33,1250000,4,USA,Edmonton
Trent Frederic,C,L,74,203,23,77,68,72,73,63,49,68,61,57,64,66,35,33,800000,4,USA,Edmonton
Tobias Bjornfot,D,L,72,202,20,68,72,72,76,63,70,71,72,71,70,63,35,33,1100000,4,SWE,Florida
Ilya Lyubushkin,D,R,74,201,27,78,68,72,75,65,72,68,65,60,71,62,43,41,1000000,4,RUS,LosAngeles
Nathan Bastian,RW,R,76,205,23,81,71,75,74,64,66,70,70,66,71,66,35,33,1100000,4,CAN,LosAngeles
Ilya Mikheyev,RW,L,75,195,26,68,78,72,76,70,76,76,72,68,75,71,40,38,1250000,4,RUS,Montreal
K'Andre Miller,D,L,75,210,21,76,72,75,76,70,73,72,72,70,73,72,35,33,1250000,4,USA,Montreal
Ty Smith,D,L,71,175,21,66,74,67,79,70,70,74,79,79,69,64,35,33,1250000,4,CAN,Montreal
Morgan Geekie,C,R,74,192,22,65,70,70,71,63,69,70,70,72,66,67,35,33,1000000,4,CAN,Nashville
Niko Mikkola,D,L,76,185,25,71,68,68,75,62,70,68,67,60,72,63,35,33,950000,4,FIN,Nashville
Dylan Coghlan,D,R,74,206,23,67,68,72,74,65,70,68,72,67,68,71,35,33,1000000,4,CAN,New Jersey
Nico Sturm,C,L,75,207,26,68,70,74,72,63,69,70,68,67,74,72,38,36,1100000,4,DEU,New Jersey
Tim Stutzle,LW,L,73,187,19,68,81,69,77,70,74,83,76,75,64,73,35,33,1250000,4,DEU,New Jersey
Barrett Hayton,C,L,73,190,21,67,74,69,73,61,69,74,65,64,64,65,35,33,900000,4,CAN,Islanders
Cody Glass,C,R,74,206,22,65,71,72,76,65,74,70,71,73,68,69,35,33,1100000,4,CAN,Islanders
Brandon Hagel,LW,L,71,174,22,71,73,67,75,65,75,71,73,74,66,72,35,33,1250000,4,CAN,Rangers
Jason Robertson,LW,L,74,210,21,67,71,76,78,65,73,70,79,78,67,77,35,33,1250000,4,USA,Rangers
Nicolas Hague,D,L,78,230,22,74,74,79,76,70,66,72,73,75,74,70,35,33,1250000,4,CAN,Ottawa
Carl Grundstrom,RW,L,72,201,23,74,71,74,74,64,69,70,68,69,64,69,35,33,1100000,4,SWE,Philly
Dylan Cozens,C,R,75,188,20,66,76,69,76,70,69,75,72,69,62,67,35,33,1000000,4,CAN,Philly
Givani Smith,RW,L,74,210,23,75,68,72,72,62,58,68,67,65,65,64,35,33,900000,4,CAN,Philly
Isac Lundestrom,C,L,72,187,21,65,68,69,77,63,73,68,67,63,69,67,35,33,900000,4,SWE,Philly
Eeli Tolvanen,RW,L,70,191,22,72,71,70,76,64,75,71,73,75,63,75,35,33,1250000,4,FIN,Phoenix
Eetu Luostarinen,C,L,75,190,22,72,68,69,75,65,73,68,68,65,73,65,35,33,950000,4,FIN,Phoenix
Gabriel Vilardi,C,R,75,201,21,64,75,74,76,65,75,74,72,71,64,72,35,33,1250000,4,CAN,Phoenix
Gaetan Haas,C,R,72,181,29,70,68,68,72,70,73,68,62,60,70,64,43,41,800000,4,CHE,Phoenix
Jacob Bryson,D,L,69,175,23,66,68,67,78,70,71,68,73,73,74,62,35,33,1100000,4,CAN,Phoenix
Jaret Anderson-Dolan,C,L,71,188,21,71,68,69,75,61,71,68,68,68,66,71,35,33,1000000,4,CAN,Phoenix
Yegor Sharangovich,C,L,74,196,23,67,70,71,76,70,75,70,73,71,72,75,35,33,1250000,4,BLR,Phoenix
Rhett Gardner,C,L,75,225,25,71,68,76,72,62,69,68,61,61,65,62,35,33,800000,4,CAN,Pittsburgh
Jakob Lilja,LW,L,73,196,27,66,68,71,71,64,70,68,65,64,64,64,35,33,800000,4,SWE,St. Louis
John Leonard,LW,L,71,183,22,66,68,68,73,70,75,68,72,66,67,65,35,33,950000,4,USA,St. Louis
Rasmus Sandin,D,L,72,183,21,68,74,71,75,61,70,73,75,76,70,63,35,33,1250000,4,SWE,St. Louis
Jake Bean,D,L,73,186,23,64,74,70,75,64,73,72,73,75,70,62,35,33,1100000,4,CAN,San Jose
Jani Hakanpaa,D,R,77,218,29,83,69,75,77,65,68,68,63,56,74,64,42,40,1250000,4,FIN,San Jose
Philipp Kurashev,C,L,72,190,21,66,68,69,75,70,74,68,70,72,62,71,35,33,1000000,4,CHE,San Jose
Alexis Lafreniere,LW,L,74,193,19,66,78,72,76,70,75,77,74,73,64,73,35,33,1250000,4,CAN,Tampa Bay
Ian Mitchell,D,R,71,173,22,64,68,67,75,70,70,68,72,66,68,70,35,33,1000000,4,CAN,Tampa Bay
Nils Hoglander,LW,L,69,185,20,72,74,70,77,70,73,74,74,73,66,73,35,33,1250000,4,SWE,Toronto
